country_name,year,e_gdppc,v2x_polyarchy
Mexico,2010,32.25,0.661
Suriname,2010,26.29,0.762
Sweden,2010,100.824,0.915
Switzerland,2010,111.685,0.897
Ghana,2010,7.728,0.766
South Africa,2010,24.992,0.77
Japan,2010,84.66,0.857
Burma/Myanmar,2010,9.094,0.118
Russia,2010,54.401,0.309
Albania,2010,21.432,0.55
Egypt,2010,19.571,0.214
Yemen,2010,9.479,0.288
Colombia,2010,26.384,0.626
Poland,2010,45.85,0.894
Brazil,2010,27.371,0.872
United States of America,2010,126.031,0.902
Portugal,2010,60.287,0.898
El Salvador,2010,13.336,0.619
Bangladesh,2010,5.756,0.427
Bolivia,2010,10.789,0.685
Haiti,2010,4.077,0.434
Honduras,2010,9.707,0.402
Mali,2010,3.864,0.602
Pakistan,2010,9.215,0.466
Peru,2010,20.653,0.806
Senegal,2010,5.479,0.683
Sudan,2010,7.605,0.222
Vietnam,2010,10.775,0.149
Afghanistan,2010,3.695,0.353
Argentina,2010,44.854,0.761
Ethiopia,2010,2.862,0.23
India,2010,11.109,0.672
Kenya,2010,5.752,0.426
North Korea,2010,4.093,0.085
South Korea,2010,76.43,0.769
Kosovo,2010,14.214,0.532
Lebanon,2010,32.136,0.473
Nigeria,2010,10.596,0.428
Philippines,2010,12.128,0.529
Tanzania,2010,4.481,0.468
Taiwan,2010,92.803,0.804
Thailand,2010,30.849,0.414
Uganda,2010,4.321,0.328
Venezuela,2010,34.341,0.42
Benin,2010,4.845,0.643
Bhutan,2010,18.784,0.601
Burkina Faso,2010,4.171,0.554
Cambodia,2010,6.448,0.307
Indonesia,2010,18.058,0.688
Mozambique,2010,3.203,0.433
Nepal,2010,4.77,0.549
Nicaragua,2010,8.245,0.436
Niger,2010,2.074,0.264
Zambia,2010,5.695,0.515
Zimbabwe,2010,4.171,0.261
Guinea,2010,3.349,0.232
Ivory Coast,2010,5.456,0.447
Mauritania,2010,6.48,0.467
Canada,2010,100.167,0.833
Australia,2010,109.397,0.898
Botswana,2010,27.362,0.717
Burundi,2010,1.908,0.321
Cape Verde,2010,13.338,0.782
Central African Republic,2010,2.26,0.341
Chile,2010,46.817,0.887
Costa Rica,2010,30.585,0.911
Timor-Leste,2010,6.742,0.636
Ecuador,2010,20.46,0.588
France,2010,87.975,0.886
Germany,2010,93.049,0.899
Guatemala,2010,14.598,0.583
Iran,2010,29.933,0.145
Iraq,2010,17.739,0.421
Ireland,2010,105.318,0.901
Italy,2010,76.988,0.856
Jordan,2010,21.078,0.24
Latvia,2010,43.733,0.796
Lesotho,2010,6.3,0.578
Liberia,2010,2.434,0.648
Malawi,2010,2.788,0.516
Maldives,2010,27.646,0.596
Mongolia,2010,13.411,0.679
Morocco,2010,16.369,0.256
Netherlands,2010,102.149,0.873
Panama,2010,36.247,0.744
Papua New Guinea,2010,8.55,0.458
Qatar,2010,207.496,0.04
Sierra Leone,2010,3.456,0.514
Spain,2010,74.152,0.891
Syria,2010,14.76,0.146
Tunisia,2010,24.319,0.194
Türkiye,2010,36.886,0.534
Ukraine,2010,21.71,0.49
United Kingdom,2010,85.428,0.866
Uruguay,2010,40.624,0.912
Algeria,2010,25.703,0.322
Angola,2010,12.758,0.214
Armenia,2010,19.948,0.33
Azerbaijan,2010,32.726,0.211
Belarus,2010,42.234,0.227
Cameroon,2010,5.389,0.319
Chad,2010,4.025,0.283
China,2010,23.845,0.094
Democratic Republic of the Congo,2010,1.465,0.361
Republic of the Congo,2010,9.693,0.256
Djibouti,2010,6.557,0.241
Dominican Republic,2010,24.341,0.614
Eritrea,2010,3.876,0.068
Gabon,2010,25.015,0.372
The Gambia,2010,4.579,0.242
Georgia,2010,20.061,0.501
Guinea-Bissau,2010,3.217,0.444
Jamaica,2010,16.511,0.776
