country_name,iso3c,year,e_gdppc,v2x_polyarchy,gini,gini_year,distance_2010,gini_source
Mexico,MEX,2010,32.25,0.661,47.7,2010.0,0.0,World Bank SI.POV.GINI
Suriname,SUR,2010,26.29,0.762,,,,
Sweden,SWE,2010,100.824,0.915,27.7,2010.0,0.0,World Bank SI.POV.GINI
Switzerland,CHE,2010,111.685,0.897,32.6,2010.0,0.0,World Bank SI.POV.GINI
Ghana,GHA,2010,7.728,0.766,42.4,2012.0,2.0,World Bank SI.POV.GINI
South Africa,ZAF,2010,24.992,0.77,60.9,2010.0,0.0,World Bank SI.POV.GINI
Japan,JPN,2010,84.66,0.857,31.5,2010.0,0.0,World Bank SI.POV.GINI
Burma/Myanmar,MMR,2010,9.094,0.118,,,,
Russia,RUS,2010,54.401,0.309,39.5,2010.0,0.0,World Bank SI.POV.GINI
Albania,ALB,2010,21.432,0.55,30.0,2008.0,2.0,World Bank SI.POV.GINI
Egypt,EGY,2010,19.571,0.214,30.2,2010.0,0.0,World Bank SI.POV.GINI
Yemen,YEM,2010,9.479,0.288,,,,
Colombia,COL,2010,26.384,0.626,54.4,2010.0,0.0,World Bank SI.POV.GINI
Poland,POL,2010,45.85,0.894,33.2,2010.0,0.0,World Bank SI.POV.GINI
Brazil,BRA,2010,27.371,0.872,53.7,2009.0,1.0,World Bank SI.POV.GINI
United States of America,USA,2010,126.031,0.902,40.2,2010.0,0.0,World Bank SI.POV.GINI
Portugal,PRT,2010,60.287,0.898,35.8,2010.0,0.0,World Bank SI.POV.GINI
El Salvador,SLV,2010,13.336,0.619,43.5,2010.0,0.0,World Bank SI.POV.GINI
Bangladesh,BGD,2010,5.756,0.427,32.1,2010.0,0.0,World Bank SI.POV.GINI
Bolivia,BOL,2010,10.789,0.685,49.2,2009.0,1.0,World Bank SI.POV.GINI
Haiti,HTI,2010,4.077,0.434,41.1,2012.0,2.0,World Bank SI.POV.GINI
Honduras,HND,2010,9.707,0.402,53.1,2010.0,0.0,World Bank SI.POV.GINI
Mali,MLI,2010,3.864,0.602,33.0,2009.0,1.0,World Bank SI.POV.GINI
Pakistan,PAK,2010,9.215,0.466,28.8,2010.0,0.0,World Bank SI.POV.GINI
Peru,PER,2010,20.653,0.806,45.5,2010.0,0.0,World Bank SI.POV.GINI
Senegal,SEN,2010,5.479,0.683,40.3,2011.0,1.0,World Bank SI.POV.GINI
Sudan,SDN,2010,7.605,0.222,35.4,2009.0,1.0,World Bank SI.POV.GINI
Vietnam,VNM,2010,10.775,0.149,39.3,2010.0,0.0,World Bank SI.POV.GINI
Afghanistan,AFG,2010,3.695,0.353,,,,
Argentina,ARG,2010,44.854,0.761,43.7,2010.0,0.0,World Bank SI.POV.GINI
Ethiopia,ETH,2010,2.862,0.23,33.2,2010.0,0.0,World Bank SI.POV.GINI
India,IND,2010,11.109,0.672,27.8,2009.0,1.0,World Bank SI.POV.GINI
Kenya,KEN,2010,5.752,0.426,,,,
North Korea,PRK,2010,4.093,0.085,,,,
